"";"levelName";"pathString";"word"
"26";" ¦   ¦--401a82a9-35e0-4f70-93f2-1e3645ce87dc        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/401a82a9-35e0-4f70-93f2-1e3645ce87dc";"right"
"27";" ¦   ¦--fdfeeaf9-3224-4f27-80a6-3c5b21841570        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/fdfeeaf9-3224-4f27-80a6-3c5b21841570";"whole"
"28";" ¦   ¦--8353ae3b-3643-4e59-a5e3-72daab66b098        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/8353ae3b-3643-4e59-a5e3-72daab66b098";"morning"
"29";" ¦   ¦--dd4bdd29-1284-4ac2-85c7-23fd65725446        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/dd4bdd29-1284-4ac2-85c7-23fd65725446";"weekend"
"30";" ¦   ¦--022b531b-229d-4876-826e-b82ac7dc2ce8        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/022b531b-229d-4876-826e-b82ac7dc2ce8";"people"
"31";" ¦   ¦--5cde512a-6cd2-4938-8d83-f8015630b74c        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/5cde512a-6cd2-4938-8d83-f8015630b74c";"worst"
"32";" ¦   ¦--71c25f13-a531-4071-bb0d-1b3a976da4da        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/71c25f13-a531-4071-bb0d-1b3a976da4da";"year"
"33";" ¦   ¦--42631f71-63b4-4296-bd7f-02c42987d187        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/42631f71-63b4-4296-bd7f-02c42987d187";"big"
"34";" ¦   ¦--3535393d-b076-447b-bd94-f41a5d5ad7c4        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/3535393d-b076-447b-bd94-f41a5d5ad7c4";"night"
"35";" ¦   ¦--2af467bd-99f2-459c-bde2-d79a9414f353        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/2af467bd-99f2-459c-bde2-d79a9414f353";"good"
"36";" ¦   ¦--6eada20e-b00f-4888-a90c-10029ea8ece0        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/6eada20e-b00f-4888-a90c-10029ea8ece0";"house"
"37";" ¦   ¦--4b988c89-7b3d-4ebd-a56d-1144a295c32e        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/4b988c89-7b3d-4ebd-a56d-1144a295c32e";"past"
